Cycle;FreqIndex;Omega;Iterations;Error
-1;-1;10.78004;12;6.444544123951346e-5
-1;-1;10.78004;12;6.445793405873701e-5
-1;-1;10.78004;12;6.443608435802162e-5
-1;-1;10.78004;12;6.444403697969392e-5
-1;-1;10.78004;12;6.444940663641319e-5
-1;-1;12.127545;16;7.782556349411607e-5
-1;-1;12.127545;16;7.781673775753006e-5
-1;-1;12.127545;16;7.782548345858231e-5
-1;-1;12.127545;16;7.781812018947676e-5
-1;-1;12.127545;16;7.781725435052067e-5
1;1;10.78004;15;9.951727406587452e-5
1;1;10.78004;15;9.949362720362842e-5
1;1;10.78004;15;9.95204973150976e-5
1;1;10.78004;15;9.950942330760881e-5
1;1;10.78004;15;9.940631571225822e-5
-1;-1;12.127545;19;6.848436896689236e-5
-1;-1;12.127545;19;6.871616642456502e-5
-1;-1;12.127545;19;6.864159513497725e-5
-1;-1;12.127545;19;6.865779141662642e-5
-1;-1;12.127545;19;6.851585203548893e-5
